gene,mean_junb_pos,mean_junb_neg,log2FC,p_value,bh_p_value,significant
ZFPM2,-0.10031665861606598,0.2609666585922241,-0.3612833023071289,5.572173465241052e-91,2.710245690322818e-89,True
GREB1L,-0.19856500625610352,0.16157743334770203,-0.36014243960380554,2.215181025305631e-97,1.1325569918654186e-95,True
MAFF,0.07919295877218246,-0.28027477860450745,0.3594677448272705,1.3392115708714926e-119,7.873395085448094e-118,True
YBX3,0.11147773265838623,-0.24766302108764648,0.3591407537460327,1.3376783897684868e-94,6.631246328031524e-93,True
AC138811.2,0.16762399673461914,-0.19146035611629486,0.3590843677520752,1.3288591110670565e-114,7.596317682322992e-113,True
MAGI2,-0.08967369794845581,0.2688482999801636,-0.3585219979286194,2.6408257990100334e-87,1.2453684281693738e-85,True
PFN1,0.05612495169043541,-0.3022040128707886,0.3583289682865143,2.0047135419147303e-103,1.0635623231017824e-101,True
ANXA5,0.13860562443733215,-0.2196694165468216,0.35827505588531494,4.961889570485982e-95,2.4755913778158965e-93,True
HLA-A,0.14343500137329102,-0.2138669639825821,0.3573019504547119,9.34868980082978e-91,4.532870987466496e-89,True
MIF,0.07762303203344345,-0.278845876455307,0.35646891593933105,3.646569231612442e-121,2.1561384447146622e-119,True
PLK2,0.1686704456806183,-0.18755418062210083,0.3562246263027191,7.009773789474293e-101,3.668645630393277e-99,True
HLA-C,0.18951858580112457,-0.1660604625940323,0.35557904839515686,1.8658872355592136e-96,9.44620657178613e-95,True
S100A11,0.02117772214114666,-0.3335219919681549,0.3546997010707855,2.5222680835032773e-99,1.3090022115775886e-97,True
MBD5,-0.12166117131710052,0.23301386833190918,-0.3546750545501709,1.7751765718558793e-90,8.567024256356809e-89,True
KLF6,0.12248435616493225,-0.23183764517307281,0.35432201623916626,4.533825464532102e-96,2.2803817267467228e-94,True
PRH1,-0.06368331611156464,0.29061123728752136,-0.3542945384979248,6.9332603698272e-79,3.021282785349594e-77,True
DMD,-0.1894138753414154,0.16476598381996155,-0.35417985916137695,6.755212819122917e-100,3.5116905834712307e-98,True
DPT,0.2048129141330719,-0.14932136237621307,0.3541342616081238,4.880819290520925e-97,2.4831268321545126e-95,True
BICC1,-0.09989364445209503,0.2541373372077942,-0.354030966758728,8.855959400687252e-96,4.4470695317908126e-94,True
UBE2E2,-0.15837368369102478,0.19549782574176788,-0.35387152433395386,3.1962269207848213e-96,1.6102227428727823e-94,True
PARD3B,-0.07248573750257492,0.2802940309047699,-0.3527797758579254,2.5111869245757074e-90,1.2100171770471097e-88,True
FHIT,-0.1377810388803482,0.21426597237586975,-0.35204702615737915,1.6264820020680965e-87,7.693632346576463e-86,True
AC018630.2,-0.059894949197769165,0.28892040252685547,-0.34881535172462463,2.55608504789227e-75,1.0863536768017311e-73,True
BRD2,0.1678597778081894,-0.18078240752220154,0.34864217042922974,7.19705487128479e-95,3.5849895671546086e-93,True
LDHA,-0.01279017236083746,-0.3613261878490448,0.34853601455688477,1.8851984797480268e-102,9.967423975773567e-101,True
SUMO2,0.11102118343114853,-0.23631705343723297,0.3473382294178009,1.3629844544408003e-94,6.7459021328976546e-93,True
AL163636.2,0.25863194465637207,-0.0846993550658226,0.34333130717277527,2.8467777061944464e-84,1.3144815748289498e-82,True
PRKG1,-0.1709544062614441,0.17063787579536438,-0.34159228205680847,5.842083367882462e-85,2.717796831638173e-83,True
CCDC18-AS1,-0.07761459052562714,0.2634429633617401,-0.34105753898620605,5.99413483647585e-84,2.751352290941204e-82,True
DSTN,0.2096198946237564,-0.13051186501979828,0.3401317596435547,8.950155194278827e-83,4.0364287974430987e-81,True
