stratum,tf,beta_age,se_age,p_age,ci_lo,ci_hi,beta_age_x_smtsisch,p_age_x_smtsisch,n,r2,family,pre_cv_n,post_cv_n,bonf_alpha,bonf_sig
T1_low,SCENIC__FAP__FOS,0.04056795019548728,0.011233571265322926,0.0003645424943411142,0.01844915512749014,0.06268674526348442,-0.00013974333911703177,0.0014740319130456773,270,0.06694794045832775,mlm,803,270,0.000462962962962963,True
T1_low,SCENIC__FAP__FOSL2,0.0016257017591042983,0.0034893562890930107,0.6416690451316712,-0.005244807614519783,0.008496211132728379,-1.4664994726604237e-05,0.27860707119214534,270,0.02058133396528017,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__FAP__IRF1,0.008243009392640062,0.00568107691422825,0.14797845244832147,-0.0029429770637989065,0.01942899584907903,-2.805489997977511e-05,0.20318471281860762,270,0.026097246520897288,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__FAP__JUNB,0.010301018361989002,0.010050978682230097,0.3063593188124917,-0.00948926314815947,0.030091299872137475,-4.72921929637305e-05,0.22526673630187613,270,0.028984842564904967,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__FAP__KLF10,-0.002382207248652062,0.006468314571145589,0.7129531026226514,-0.015118257170386038,0.010353842673081915,4.8209034498548155e-06,0.8474724387428925,270,0.010966650641819009,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__MuSC__ATF3,-0.0017603592472905855,0.004955594698127661,0.7227034463729683,-0.0115178781145364,0.00799715961995523,1.4331665047426106e-05,0.4556775123670388,270,0.08177228791631896,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__MuSC__CEBPB,-0.016973136056092457,0.007272187748203116,0.02034748202340709,-0.03129200462418894,-0.002654267487995972,6.424111449838786e-05,0.023285050754106786,270,0.05227108887143517,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__MuSC__EGR1,-0.008487580894564892,0.008351985718165313,0.31044787488119846,-0.024932561404120323,0.007957399614990538,4.45475413391143e-05,0.16941559911564502,270,0.021878258374547932,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__MuSC__FOS,0.011108858505528443,0.006855107368462095,0.10631378986835034,-0.002388782758402373,0.024606499769459257,-2.913566785437749e-05,0.2732301006201641,270,0.02767217409707723,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__MuSC__FOSL2,-0.0036616895121006823,0.003974029049161299,0.35768034911156754,-0.011486514944419641,0.004163135920218277,1.231417701945418e-05,0.4241603625461755,270,0.029204812879513375,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__MuSC__IRF1,0.01014343367091114,0.006135542660430954,0.09947366214276522,-0.0019373915209807656,0.022224258862803044,-3.570866573784735e-05,0.13391796895607236,270,0.05064172198057182,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__MuSC__JUNB,-0.010719118773251978,0.010222059869723828,0.2953092729361897,-0.030846257515778956,0.009408019969275002,3.2726884689880556e-05,0.40895214173131145,270,0.015668904904909353,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__MuSC__KLF10,0.011764598751888032,0.004706063911295729,0.013030835093497404,0.002498403632605544,0.02103079387117052,-4.696641407354276e-05,0.010477388792700399,270,0.06637581122020308,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__Vascular__ATF3,0.00414383669575016,0.002814109842130255,0.1420713214456658,-0.0013971188407190848,0.009684792232219405,-1.7587942371150382e-05,0.1076097539849596,270,0.028646897882826483,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__Vascular__CEBPB,-0.0036252690142100125,0.005511145584311673,0.5112354425250796,-0.014476662296912711,0.007226124268492687,1.768552580381832e-05,0.4078637375186489,270,0.034974269587781714,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__Vascular__EGR1,-0.026844488824659018,0.0103702741402931,0.01017084714503511,-0.04726346005744618,-0.006425517591871856,7.827971969850222e-05,0.05223822386181062,270,0.14489520966056713,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__Vascular__FOS,-0.006649675940951493,0.007793249072838286,0.39428804180697075,-0.021994509305571938,0.008695157423668954,2.4885145466620052e-05,0.41018483791235005,270,0.016981261906323764,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__Vascular__FOSL2,-0.005850191330831898,0.008067194800379051,0.4689821504378391,-0.021734421229654452,0.010034038567990657,1.8083398297734617e-05,0.5630400052652291,270,0.0332074638331773,mlm,803,270,0.000462962962962963,False
